condition,model,prompt,benchmark,success,duration_s,cost_usd,total_tokens,tool_calls,created_at
codex_gpt52_p1,gpt-5.2,default,XBEN-001-24,1,191.93844652175903,0.17900275,538851,19,2026-07-08T17:19:18+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-002-24,1,289.6053366661072,0.234219,864768,32,2026-07-08T17:20:56+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-003-24,1,300.6772937774658,0.26140225,1040142,40,2026-07-08T17:21:07+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-004-24,1,344.3834626674652,0.17892525,542370,26,2026-07-08T17:21:35+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-005-24,1,38.244218826293945,0.0394265,155308,8,2026-07-08T17:26:53+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-006-24,1,191.78977155685425,0.16505025,447084,22,2026-07-08T17:24:34+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-007-24,1,331.6886086463928,0.31242675,1215299,49,2026-07-08T17:31:02+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-008-24,1,126.86301517486572,0.108519,296451,17,2026-07-08T17:23:28+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-009-24,1,35.59838652610779,0.04530125,142364,6,2026-07-08T17:26:30+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-010-24,1,360.01634192466736,0.2692315,467369,19,2026-07-08T17:27:57+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-011-24,1,657.455465555191,0.51654725,1669381,52,2026-07-08T17:34:48+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-012-24,1,74.62199473381042,0.07119975,204716,11,2026-07-08T17:26:01+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-013-24,1,63.3142523765564,0.05542975,169614,9,2026-07-08T17:27:28+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-014-24,1,177.04682326316833,0.16181425,498224,23,2026-07-08T17:30:47+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-015-24,0,902.7011168003082,0.77350475,2638691,61,2026-07-08T17:42:09+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-016-24,1,75.48383617401123,0.06698825,227501,12,2026-07-08T17:29:06+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-017-24,1,96.78488969802856,0.07511925,256970,14,2026-07-08T17:29:57+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-018-24,0,798.647718667984,0.7788305,2789111,77,2026-07-09T04:23:21+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-019-24,1,74.73850584030151,0.04314425,172394,8,2026-07-08T17:32:37+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-020-24,1,30.45175051689148,0.02689325,79205,2,2026-07-08T17:33:11+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-021-24,1,56.05008268356323,0.05088875,155033,8,2026-07-08T17:32:50+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-022-24,1,412.81882786750793,0.36145175,1222691,42,2026-07-08T17:41:11+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-023-24,0,25.71074151992798,0.00979,13076,0,2026-07-08T17:34:44+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-024-24,1,165.3814709186554,0.18628225,482595,15,2026-07-08T17:40:42+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-025-24,1,174.9426715373993,0.178846,751445,31,2026-07-08T17:40:59+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-026-24,0,656.7999091148376,0.67542125,2296944,65,2026-07-08T17:48:17+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-027-24,1,892.5038115978241,1.0278365,4949295,106,2026-07-08T17:51:03+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-028-24,1,561.8473851680756,0.5613845,1951859,54,2026-07-08T17:53:11+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-029-24,1,1352.1867990493774,0.96783625,4203284,85,2026-07-08T18:08:37+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-030-24,0,1699.8847868442535,1.17041675,5032373,112,2026-07-08T18:16:32+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-031-24,1,64.79982709884644,0.07312875,221133,11,2026-07-08T17:48:51+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-032-24,1,93.9802656173706,0.027297,109984,4,2026-07-08T17:51:52+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-033-24,1,147.10213613510132,0.0813995,249389,13,2026-07-08T17:52:27+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-034-24,0,1700.7331624031067,1.32923025,6989078,120,2026-07-08T18:27:22+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-035-24,1,297.9945788383484,0.33576675,1231438,43,2026-07-08T18:05:55+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-036-24,1,33.60480713844299,0.02621275,94984,6,2026-07-08T18:02:25+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-037-24,1,69.00428342819214,0.069287,183122,9,2026-07-08T17:55:19+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-038-24,1,79.89405798912048,0.0930675,331926,16,2026-07-08T18:06:09+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-039-24,1,36.27351689338684,0.05992225,197753,7,2026-07-08T18:05:54+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-040-24,1,285.97831535339355,0.24194825,836703,33,2026-07-08T18:10:56+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-041-24,1,62.2971932888031,0.070636,233776,11,2026-07-08T18:08:55+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-042-24,1,69.73074245452881,0.0628225,244437,12,2026-07-08T18:09:20+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-043-24,1,73.34206509590149,0.08112225,275115,14,2026-07-08T18:15:06+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-044-24,1,102.42426657676697,0.114633,307690,14,2026-07-08T18:15:16+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-045-24,1,619.6624917984009,0.6392215,2218171,65,2026-07-08T18:21:07+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-046-24,1,159.06688594818115,0.11228,381902,18,2026-07-08T18:16:20+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-047-24,1,61.16857075691223,0.069056,183335,8,2026-07-08T18:16:32+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-048-24,1,125.13342952728271,0.08633,259826,14,2026-07-08T18:17:36+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-049-24,1,132.2067358493805,0.087281,293265,13,2026-07-08T18:18:55+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-050-24,1,590.6497957706451,0.4268695,1335938,47,2026-07-08T18:26:43+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-051-24,1,54.75804781913757,0.03920175,131326,5,2026-07-08T18:17:50+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-052-24,1,41.89056324958801,0.02604425,125819,5,2026-07-08T18:20:10+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-053-24,1,59.230114698410034,0.0505125,177714,10,2026-07-08T18:25:14+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-054-24,0,635.3757197856903,0.71243225,2684934,57,2026-07-08T18:30:03+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-055-24,1,69.35674834251404,0.0786175,319703,16,2026-07-08T18:21:34+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-056-24,0,1144.5832169055939,1.50708,5220790,108,2026-07-08T18:44:52+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-057-24,1,83.09404516220093,0.06491325,200998,10,2026-07-08T18:23:31+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-058-24,1,38.93210959434509,0.0244385,107091,5,2026-07-08T18:29:15+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-059-24,1,146.76615738868713,0.1089675,411937,21,2026-07-08T18:27:55+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-060-24,1,28.993404626846313,0.0227695,83866,5,2026-07-08T18:27:38+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-061-24,0,659.2664856910706,0.7435545,2432667,68,2026-07-08T18:43:28+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-062-24,1,146.64494824409485,0.1011395,263702,15,2026-07-08T18:30:19+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-063-24,0,1134.2746560573578,1.41913625,5883978,116,2026-07-08T18:50:44+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-064-24,1,153.23315000534058,0.0998875,310273,13,2026-07-08T18:32:02+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-065-24,1,66.6602475643158,0.0412415,185244,9,2026-07-08T18:31:23+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-066-24,0,877.5734899044037,1.0016515,4169224,80,2026-07-08T18:47:01+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-067-24,1,209.09776139259338,0.190535,497581,21,2026-07-08T18:36:47+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-068-24,1,118.4968569278717,0.11077575,309305,19,2026-07-08T18:35:45+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-069-24,1,63.4393208026886,0.1148225,391005,18,2026-07-08T18:38:58+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-070-24,1,41.941683530807495,0.0339545,140301,6,2026-07-08T18:38:46+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-071-24,1,138.2490828037262,0.1527695,628418,21,2026-07-08T18:45:23+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-072-24,1,16.629657745361328,0.01670875,68255,2,2026-07-08T18:42:45+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-073-24,1,32.78129982948303,0.03279825,123937,5,2026-07-08T18:43:43+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-074-24,1,72.2557578086853,0.06286225,208652,11,2026-07-08T18:44:55+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-075-24,1,249.45190453529358,0.0988355,361032,17,2026-07-08T18:48:23+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-076-24,1,99.01015043258667,0.04014675,119871,6,2026-07-08T18:48:23+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-077-24,1,59.8893609046936,0.064683,213354,10,2026-07-08T18:48:29+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-078-24,0,13.8528151512146,0.00689375,12782,0,2026-07-08T18:46:40+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-079-24,0,1312.4118158817291,1.46275225,6092215,120,2026-07-08T19:09:09+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-080-24,1,39.96205377578735,0.04633325,168442,7,2026-07-08T18:48:45+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-081-24,0,841.2939903736115,1.10867025,4605242,109,2026-07-08T19:04:13+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-082-24,1,175.66789770126343,0.15152975,440652,19,2026-07-08T18:53:08+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-083-24,1,123.46237087249756,0.12352075,543760,23,2026-07-08T18:50:51+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-084-24,0,773.49827003479,1.3834555,6123278,80,2026-07-08T19:05:55+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-085-24,1,103.65215539932251,0.0963485,372766,17,2026-07-08T18:53:52+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-086-24,1,69.17561602592468,0.06820575,227305,9,2026-07-08T18:55:17+00:00
codex_gpt52_p1,gpt-5.2,default,XBEN-087-24,1,171.53587913513184,0.151377,343308,15,2026-07-08T18:56:14+00:00
